date,season_year,team,opponent,goals_scored,goals_conceded,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,points,home_away,goal_difference,shot_conversion_rate,efficiency_score
2000-08-19,2000,Charlton,Man City,4,0,17,14,6,13,1,0,3,Home,4,0.2857142857142857,2.588235294117647
2000-08-19,2000,Chelsea,West Ham,4,2,17,10,7,19,1,0,3,Home,2,0.4,2.1176470588235294
2000-08-19,2000,Coventry,Middlesbrough,1,3,6,3,8,15,5,1,0,Home,-2,0.3333333333333333,1.6666666666666667
2000-08-19,2000,Derby,Southampton,2,2,6,4,5,11,1,0,1,Home,0,0.5,2.6666666666666665
2000-08-19,2000,Leeds,Everton,2,0,17,8,6,21,1,0,3,Home,2,0.25,1.411764705882353
2000-08-19,2000,Leicester,Aston Villa,0,0,5,4,5,12,2,0,1,Home,0,0.0,1.6
2000-08-19,2000,Liverpool,Bradford,1,0,16,10,6,8,1,0,3,Home,1,0.1,1.5
2000-08-19,2000,Sunderland,Arsenal,1,0,8,2,2,10,3,0,3,Home,1,0.5,1.0
2000-08-19,2000,Tottenham,Ipswich,3,1,20,6,3,14,0,0,3,Home,2,0.5,1.2
2000-08-20,2000,Man United,Newcastle,2,0,19,9,7,7,0,0,3,Home,2,0.2222222222222222,1.368421052631579
2000-08-21,2000,Arsenal,Liverpool,2,0,17,12,10,25,2,1,3,Home,2,0.16666666666666666,1.8823529411764706
2000-08-22,2000,Bradford,Chelsea,2,0,12,3,6,14,0,0,3,Home,2,0.6666666666666666,1.1666666666666667
2000-08-22,2000,Ipswich,Man United,1,1,13,8,4,10,1,0,1,Home,0,0.125,1.5384615384615385
2000-08-22,2000,Middlesbrough,Tottenham,1,1,12,6,5,9,2,0,1,Home,0,0.16666666666666666,1.3333333333333333
2000-08-23,2000,Everton,Charlton,3,0,13,8,3,17,2,0,3,Home,3,0.375,2.1538461538461537
2000-08-23,2000,Man City,Sunderland,4,2,15,10,7,24,3,0,3,Home,2,0.4,2.4
2000-08-23,2000,Newcastle,Derby,3,2,9,4,9,23,0,1,3,Home,1,0.75,2.2222222222222223
2000-08-23,2000,Southampton,Coventry,1,2,12,4,6,18,5,0,0,Home,-1,0.25,1.0
2000-08-23,2000,West Ham,Leicester,0,1,17,12,11,16,3,1,0,Home,-1,0.0,1.411764705882353
2000-08-26,2000,Arsenal,Charlton,5,3,18,9,8,12,0,0,3,Home,2,0.5555555555555556,2.111111111111111
2000-08-26,2000,Bradford,Leicester,0,0,8,4,6,11,1,0,1,Home,0,0.0,1.0
2000-08-26,2000,Everton,Derby,2,2,12,9,11,11,2,0,1,Home,0,0.2222222222222222,2.1666666666666665
2000-08-26,2000,Ipswich,Sunderland,1,0,14,5,7,10,1,0,3,Home,1,0.2,1.0
2000-08-26,2000,Man City,Coventry,1,2,14,5,5,7,2,0,0,Home,-1,0.2,1.0
2000-08-26,2000,Middlesbrough,Leeds,1,2,15,8,4,12,2,0,0,Home,-1,0.125,1.3333333333333333
2000-08-26,2000,Newcastle,Tottenham,2,0,15,6,4,13,0,0,3,Home,2,0.3333333333333333,1.3333333333333333
2000-08-26,2000,Southampton,Liverpool,3,3,14,7,7,7,0,0,1,Home,0,0.42857142857142855,1.8571428571428572
2000-08-26,2000,West Ham,Man United,2,2,17,8,7,12,1,0,1,Home,0,0.25,1.411764705882353
2000-08-27,2000,Aston Villa,Chelsea,1,1,12,9,7,13,0,0,1,Home,0,0.1111111111111111,1.8333333333333333
2000-09-05,2000,Leeds,Man City,1,2,6,1,9,18,2,0,0,Home,-1,1.0,1.0
2000-09-05,2000,Man United,Bradford,6,0,21,12,5,12,0,0,3,Home,6,0.5,2.2857142857142856
2000-09-05,2000,Sunderland,West Ham,1,1,17,7,4,19,2,0,1,Home,0,0.14285714285714285,1.0588235294117647
2000-09-05,2000,Tottenham,Everton,3,2,11,7,7,11,1,0,3,Home,1,0.42857142857142855,2.3636363636363638
2000-09-06,2000,Charlton,Southampton,1,1,8,6,10,14,3,1,1,Home,0,0.16666666666666666,2.0
2000-09-06,2000,Chelsea,Arsenal,2,2,12,5,7,16,3,0,1,Home,0,0.4,1.5
2000-09-06,2000,Coventry,Newcastle,0,2,13,3,6,11,1,0,0,Home,-2,0.0,0.46153846153846156
2000-09-06,2000,Derby,Middlesbrough,3,3,9,5,11,8,3,0,1,Home,0,0.6,2.4444444444444446
2000-09-06,2000,Leicester,Ipswich,2,1,12,6,6,12,1,0,3,Home,1,0.3333333333333333,1.6666666666666667
2000-09-06,2000,Liverpool,Aston Villa,3,1,11,7,8,13,0,0,3,Home,2,0.42857142857142855,2.3636363636363638
2000-09-09,2000,Bradford,Arsenal,1,1,9,5,4,17,0,0,1,Home,0,0.2,1.5555555555555556
2000-09-09,2000,Coventry,Leeds,0,0,9,1,6,15,2,0,1,Home,0,0.0,0.2222222222222222
2000-09-09,2000,Ipswich,Aston Villa,1,2,15,5,5,9,1,0,0,Home,-1,0.2,0.9333333333333333
